"","row","col","value"
"1",1,1,0
"2",2,1,9.09587464731768
"3",3,1,9.12113763238295
"4",4,1,9.63332247771005
"5",5,1,9.21194990061966
"6",6,1,9.39933270152345
"7",7,1,10.0806703294577
"8",8,1,9.68082162302247
"9",9,1,9.4076821521122
"10",10,1,9.4506045081141
"11",11,1,9.74543395054776
"12",12,1,9.48280871730029
"13",13,1,9.78616852782622
"14",14,1,9.22351183742617
"15",15,1,9.28616019907963
"16",16,1,10.6115119978398
"17",17,1,9.41638933178074
"18",18,1,9.66663997937713
"19",19,1,9.76894746074369
"20",20,1,10.1834741587052
"21",21,1,9.3902656434023
"22",22,1,9.73806537203248
"23",23,1,9.68463363831169
"24",24,1,8.82315620109746
"25",25,1,9.6147962463903
"26",26,1,9.65554348090111
"27",27,1,9.80245130953585
"28",28,1,10.2699762698469
"29",29,1,9.64145493573165
"30",30,1,9.49808297152935
"31",31,1,9.73929873018081
"32",32,1,9.52448433266624
"33",33,1,9.09299697820811
"34",34,1,9.0115165439611
"35",35,1,9.57132444083811
"36",36,1,9.84972732627743
"37",37,1,9.68665572810226
"38",38,1,9.53789604694265
"39",39,1,9.30657338216397
"40",40,1,9.60538773210833
"41",41,1,10.427148150497
"42",42,1,9.34399022696772
"43",43,1,9.09727436077652
"44",44,1,9.2712167724017
"45",45,1,9.34634640791009
"46",46,1,9.71692107537062
"47",47,1,9.53471915026826
"48",48,1,10.2793531154822
"49",49,1,9.19656641211126
"50",50,1,9.56171220681284
"51",51,1,16.802331453459
"52",52,1,16.1134137453161
"53",53,1,21.758280876099
"54",54,1,15.8009345836086
"55",55,1,15.9986328915015
"56",56,1,16.9753655118936
"57",57,1,16.2270456571854
"58",58,1,16.7284586612419
"59",59,1,16.2422342896346
"60",60,1,15.9440866040543
"61",61,1,17.2777288021604
"62",62,1,15.7647289494473
"63",63,1,16.1333649390267
"64",64,1,16.3002790354689
"65",65,1,16.1897054934415
"66",66,1,16.3495547278181
"67",67,1,16.3395106973383
"68",68,1,15.9540399863102
"69",69,1,16.4539829834042
"70",70,1,16.3519312574266
"71",71,1,17.077389111418
"72",72,1,16.0622864329951
"73",73,1,16.1523202299567
"74",74,1,17.2814308187243
"75",75,1,15.7734460767443
"76",76,1,15.7884717728559
"77",77,1,16.1569139811364
"78",78,1,16.0522151892728
"79",79,1,16.1239400122523
"80",80,1,16.6903593537129
"81",81,1,16.8386616922138
"82",82,1,16.406427371884
"83",83,1,17.5003157698106
"84",84,1,16.5115693063285
"85",85,1,17.0452907354637
