compareStrain,vaccineStrain,vaccine_code,Year,Month,Day
CY025428_A_California_UR06_0347_2007,EPI502253_A_Wisconsin_67_2005,Wis05,2007,2,19
CY027570_A_Texas_UR06_0358_2007,EPI502253_A_Wisconsin_67_2005,Wis05,2007,2,20
CY040057_A_Taiwan_70307_2007,EPI502253_A_Wisconsin_67_2005,Wis05,2007,2,3
CY114412_A_Netherlands_69_2007,EPI502253_A_Wisconsin_67_2005,Wis05,2007,2,19
EPI577980_A_Brisbane_10_2007,EPI502253_A_Wisconsin_67_2005,Wis05,2007,2,6
CY040073_A_Taiwan_2361_2007,EPI502253_A_Wisconsin_67_2005,Wis05,2007,11,12
CY114420_A_Netherlands_348_2007,EPI502253_A_Wisconsin_67_2005,Wis05,2007,11,6
CY037310_A_Qatar_AF02_2008,EPI502253_A_Wisconsin_67_2005,Wis05,2008,1,29
CY040105_A_Taiwan_70120_2008,EPI502253_A_Wisconsin_67_2005,Wis05,2008,1,15
CY037326_A_Korea_AF05_2008,EPI502253_A_Wisconsin_67_2005,Wis05,2008,2,19
CY044603_A_Boston_40_2008,EPI502253_A_Wisconsin_67_2005,Wis05,2008,2,15
CY173286_A_New_York_1155_2008,EPI502253_A_Wisconsin_67_2005,Wis05,2008,3,27
CY044827_A_Boston_88_2008,EPI502253_A_Wisconsin_67_2005,Wis05,2008,4,16
CY113020_A_Netherlands_377_2008,EPI502253_A_Wisconsin_67_2005,Wis05,2008,9,27
CY147666_A_Mexico_24013_2008,EPI577980_A_Brisbane_10_2007,Bris07,2008,12,1
CY093316_A_Kyrgyzstan_WRAIR1256P_2008,EPI577980_A_Brisbane_10_2007,Bris07,2008,12,1
CY089756_A_Boston_75_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,1,16
CY093237_A_South_Korea_WRAIR1171P_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,1,1
CY093348_A_Kuwait_WRAIR1561P_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,1,1
CY113028_A_Netherlands_69_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,1,12
CY069426_A_Japan_WRAIR1140P_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,2,9
CY089740_A_Boston_40_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,2,27
CY050611_A_New_York_3018_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,27
CY050731_A_New_York_3143_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,30
CY064830_A_California_VRDL138_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,29
CY068104_A_California_VRDL368_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,27
CY068208_A_California_VRDL170_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,28
CY068232_A_California_VRDL188_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,29
CY068296_A_California_VRDL247_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,29
CY068360_A_California_VRDL263_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,30
CY068416_A_California_VRDL277_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,30
CY068640_A_California_VRDL394_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,28
CY068781_A_California_VRDL205_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,29
CY069322_A_Korea_WRAIR1038P_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,9
EPI577969_A_Perth_16_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,7
CY050795_A_New_York_3491_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,5,11
CY050827_A_New_York_3738_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,5,20
CY067976_A_California_VRDL339_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,5,4
CY068336_A_California_VRDL260_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,5,1
CY068480_A_California_VRDL309_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,5,2
CY077432_A_California_VRDL356_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,6,2
CY084416_A_New_York_3918_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,6,5
CY113044_A_Netherlands_761_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,6,25
CY106599_A_Hong_Kong_H090_671_V10_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,6
CY106647_A_Hong_Kong_H090_689_V22_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,12
CY106655_A_Hong_Kong_H090_692_V10_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,10
CY106703_A_Hong_Kong_H090_714_V10_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,15
CY106735_A_Hong_Kong_H090_720_V31_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,24
CY106743_A_Hong_Kong_H090_724_V10_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,20
CY106751_A_Hong_Kong_H090_724_V20_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,22
CY106791_A_Hong_Kong_H090_733_V10_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,22
CY106847_A_Hong_Kong_H090_739_V22_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,27
CY106863_A_Hong_Kong_H090_739_V33_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,29
CY106871_A_Hong_Kong_H090_741_V10_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,24
CY106879_A_Hong_Kong_H090_747_V10_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,28
CY115527_A_Hong_Kong_H090_689_V20_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,12
CY115647_A_Hong_Kong_H090_726_V10_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,20
CY115687_A_Hong_Kong_H090_734_V32_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,27
CY115727_A_Hong_Kong_H090_739_V23_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,27
CY115735_A_Hong_Kong_H090_739_V33_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,29
KY049985_A_Qinghai_178_2010,EPI577980_A_Brisbane_10_2007,Bris07,2010,3,15
CY072221_A_New_York_20343_2010,EPI577980_A_Brisbane_10_2007,Bris07,2010,6,16
HQ664917_A_Nanjing_1655_2010,EPI577980_A_Brisbane_10_2007,Bris07,2010,9,10
HQ664922_A_Nanjing_1654_2010,EPI577980_A_Brisbane_10_2007,Bris07,2010,9,10
HQ664929_A_Nanjing_1663_2010,EPI577980_A_Brisbane_10_2007,Bris07,2010,9,10
CY093221_A_District_of_Columbia_WRAIR0300_2010,EPI577969_A_Perth_16_2009,Prth09,2010,11,17
MK729833_A_New_York_WC_LVD_10_001_2010,EPI577969_A_Perth_16_2009,Prth09,2010,11,4
CY093540_A_Mexico_City_WRAIR3579T_2010,EPI577969_A_Perth_16_2009,Prth09,2010,12,9
CY114516_A_Netherlands_034_2010,EPI577969_A_Perth_16_2009,Prth09,2010,12,23
KC882441_A_Iowa_19_2010,EPI577969_A_Perth_16_2009,Prth09,2010,12,30
KC882476_A_Texas_24_2010,EPI577969_A_Perth_16_2009,Prth09,2010,12,31
KT888262_A_Mexico_City_1514A00904139N_CP2_2010,EPI577969_A_Perth_16_2009,Prth09,2010,12,29
MK729873_A_New_York_WC_LVD_10_006_2010,EPI577969_A_Perth_16_2009,Prth09,2010,12,16
CY091580_A_Illinois_NHRC0002_2011,EPI577969_A_Perth_16_2009,Prth09,2011,1,19
CY091588_A_California_NHRC0001_2011,EPI577969_A_Perth_16_2009,Prth09,2011,1,14
CY092272_A_California_NHRC0003_2011,EPI577969_A_Perth_16_2009,Prth09,2011,1,28
CY092288_A_California_NHRC0002_2011,EPI577969_A_Perth_16_2009,Prth09,2011,1,16
CY111165_A_Boston_DOA05_2011,EPI577969_A_Perth_16_2009,Prth09,2011,1,11
CY114428_A_Netherlands_063_2011,EPI577969_A_Perth_16_2009,Prth09,2011,1,5
CY167515_A_Tennessee_F2018A_2011,EPI577969_A_Perth_16_2009,Prth09,2011,1,24
KC882565_A_New_Jersey_01_2011,EPI577969_A_Perth_16_2009,Prth09,2011,1,11
CY111309_A_Boston_DOA48_2011,EPI577969_A_Perth_16_2009,Prth09,2011,2,16
CY111317_A_Boston_DOA51_2011,EPI577969_A_Perth_16_2009,Prth09,2011,2,18
CY134520_A_Boston_DOA38_2011,EPI577969_A_Perth_16_2009,Prth09,2011,2,12
CY134568_A_Boston_DOA47_2011,EPI577969_A_Perth_16_2009,Prth09,2011,2,14
CY167571_A_Tennessee_F2031A_2011,EPI577969_A_Perth_16_2009,Prth09,2011,2,7
KC882641_A_Texas_06_2011,EPI577969_A_Perth_16_2009,Prth09,2011,2,5
KR137644_A_Bethesda_NIH12_2011,EPI577969_A_Perth_16_2009,Prth09,2011,2,15
CY111421_A_Boston_DOA78_2011,EPI577969_A_Perth_16_2009,Prth09,2011,3,14
EPI417234_A_Victoria_361_2011,EPI577969_A_Perth_16_2009,Prth09,2011,10,24
KT888275_A_Hong_Kong_1514A01704826T_2011,EPI577969_A_Perth_16_2009,Prth09,2011,11,15
KT888268_A_Amman_1514A01004465T_2011,EPI577969_A_Perth_16_2009,Prth09,2011,12,5
KT888283_A_Budapest_1514A07804502N_2011,EPI577969_A_Perth_16_2009,Prth09,2011,12,12
KT889087_A_Japan_22_2011,EPI577969_A_Perth_16_2009,Prth09,2011,12,20
KT888257_A_Moscow_1514A00504942N_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,19
KT888258_A_Moscow_1514A00504950T_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,11
KT888267_A_Amman_1514A01004462T_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,11
KT888281_A_Sarajevo_1514A06604486N_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,11
KT888944_A_Yokosuka_SE680_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,24
KT889082_A_Japan_17_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,31
KT889083_A_Korea_18_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,24
KT889099_A_Korea_37_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,19
KT889102_A_Kyrgyzstan_40_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,12
KT889103_A_Kyrgyzstan_41_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,12
KT889104_A_Japan_42_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,31
KT889107_A_Korea_45_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,13
KT889108_A_Korea_47_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,20
KT888945_A_Yokosuka_SE863_2012,EPI577969_A_Perth_16_2009,Prth09,2012,2,3
KT889105_A_Japan_43_2012,EPI577969_A_Perth_16_2009,Prth09,2012,2,5
KC892843_A_Nevada_12_2012,EPI577969_A_Perth_16_2009,Prth09,2012,3,30
KT888260_A_Moscow_1514A00505153N_2012,EPI577969_A_Perth_16_2009,Prth09,2012,3,23
KT889091_A_Japan_26_2012,EPI577969_A_Perth_16_2009,Prth09,2012,3,5
EPI556813_A_Texas_50_2012,EPI577969_A_Perth_16_2009,Prth09,2012,4,15
KT888259_A_Moscow_1514A00505149T_2012,EPI577969_A_Perth_16_2009,Prth09,2012,4,12
KT888261_A_Moscow_1514A00505162N_2012,EPI577969_A_Perth_16_2009,Prth09,2012,4,13
KT888279_A_Prague_1514A06404885N_2012,EPI577969_A_Perth_16_2009,Prth09,2012,4,12
MK640845_A_China_38887_2012,EPI577969_A_Perth_16_2009,Prth09,2012,8,29
MK640846_A_China_38888_2012,EPI577969_A_Perth_16_2009,Prth09,2012,8,29
MK640847_A_China_39207_2012,EPI577969_A_Perth_16_2009,Prth09,2012,9,26
MK730233_A_New_York_WC_LVD_12_051_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,10,5
CY134779_A_Texas_JMM_8_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,11,20
CY135131_A_Texas_JMM_54_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,6
CY148427_A_Boston_DOA2_112_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,4
CY148547_A_Boston_DOA2_128_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,18
CY167934_A_Boston_YGA_00008_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,19
CY168846_A_Boston_YGA_01045_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,25
CY168878_A_Boston_YGA_01049_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,26
CY170126_A_Boston_YGA_02003_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,17
CY171246_A_Chicago_YGA_04053_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,18
CY171270_A_Chicago_YGA_04056_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,18
CY171342_A_Chicago_YGA_04090_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,26
CY171406_A_Chicago_YGA_04102_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,27
CY182800_A_Houston_JMM_74_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,15
CY182848_A_Houston_JMM_80_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,18
CY182880_A_Houston_JMM_85_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,19
CY182960_A_Houston_JMM_96_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,29
MK640848_A_China_41303_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,24
MK640849_A_China_41304_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,24
MK730273_A_New_York_WC_LVD_12_057_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,7
MK730497_A_New_York_WC_LVD_12_086_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,17
