"","row","col","value"
"1",1,1,0
"2",2,1,3.71660741981645
"3",3,1,2.54028770424017
"4",4,1,2.80598495406212
"5",5,1,3.71298338455015
"6",6,1,2.28330980776897
"7",7,1,3.27484158102434
"8",8,1,2.00690032943975
"9",9,1,4.57627315557585
"10",10,1,3.73116549770476
"11",11,1,7.91611222365223
"12",12,1,9.61508869923443
"13",13,1,5.93534827436652
"14",14,1,4.77293875927089
"15",15,1,7.18319710572643
"16",16,1,5.51086817741515
"17",17,1,13.2185083529111
"18",18,1,5.75547080520431
"19",19,1,4.58019330369463
"20",20,1,13.2814648292821
"21",1,2,3.71660741981645
"22",2,2,0
"23",3,2,3.68657325206247
"24",4,2,3.41940698151411
"25",5,2,5.2051789513122
"26",6,2,3.54869050094407
"27",7,2,3.63080023875946
"28",8,2,3.63032783435772
"29",9,2,5.12037283505238
"30",10,2,4.23116065560673
"31",11,2,8.02745107927216
"32",12,2,9.12224136896715
"33",13,2,5.85310108284243
"34",14,2,4.7513716574365
"35",15,2,6.71216682748061
"36",16,2,5.34887167877962
"37",17,2,12.7080104301737
"38",18,2,5.43273686589055
"39",19,2,4.90293991446609
"40",20,2,12.8900673534105
"41",1,3,2.54028770424017
"42",2,3,3.68657325206247
"43",3,3,0
"44",4,3,2.48376408383629
"45",5,3,4.21374298956045
"46",6,3,2.38812351275412
"47",7,3,2.75908700739013
"48",8,3,2.41844078437344
"49",9,3,4.82863899161632
"50",10,3,3.64645114390748
"51",11,3,7.70137477275889
"52",12,3,9.38034360284701
"53",13,3,5.79184547191571
"54",14,3,4.86199601667094
"55",15,3,7.24189027452485
"56",16,3,5.30495210887651
"57",17,3,13.4826861204323
"58",18,3,5.45107977227334
"59",19,3,4.49256475645246
"60",20,3,13.5058625881197
"61",1,4,2.80598495406212
"62",2,4,3.41940698151411
"63",3,4,2.48376408383629
"64",4,4,0
"65",5,4,5.13110803952487
"66",6,4,2.48033519744727
"67",7,4,2.69224255803013
"68",8,4,2.46313512036626
"69",9,4,5.08725582240526
"70",10,4,4.07444693232029
"71",11,4,7.83093902223423
"72",12,4,9.86097216904356
"73",13,4,6.12452908193997
"74",14,4,5.10754587361415
"75",15,4,7.46675139557384
"76",16,4,5.54285694570275
"77",17,4,13.6578628776382
"78",18,4,5.48580912002651
"79",19,4,4.93467260389646
"80",20,4,13.4833043354017
