"","row","col","value"
"1",1,1,0
"2",2,1,11.4503464892913
"3",3,1,10.5184941318373
"4",4,1,14.3716462355813
"5",5,1,11.0547457048993
"6",6,1,15.0994849515496
"7",7,1,10.8138840571209
"8",8,1,15.3840289304903
"9",9,1,13.4848341658711
"10",10,1,12.9728822236546
"11",11,1,19.3480344619985
"12",12,1,22.5462644221376
"13",13,1,19.1420549980747
"14",14,1,25.3701700427142
"15",15,1,26.095176453282
"16",16,1,22.0018205646184
"17",17,1,19.8654624334679
"18",18,1,20.5583505548006
"19",19,1,20.4639197180441
"20",20,1,26.178712154624
"21",1,2,11.4503464892913
"22",2,2,0
"23",3,2,7.73080926414861
"24",4,2,8.97696977740839
"25",5,2,5.75177607079388
"26",6,2,8.79974004557311
"27",7,2,4.73266183481483
"28",8,2,9.56493982606106
"29",9,2,8.9366583600627
"30",10,2,6.60986750018241
"31",11,2,14.8306201005004
"32",12,2,20.2260811114783
"33",13,2,15.267470312575
"34",14,2,23.3269325724979
"35",15,2,24.1040076272872
"36",16,2,19.29968106258
"37",17,2,15.9297966499512
"38",18,2,17.0122118656914
"39",19,2,17.5918263241411
"40",20,2,23.9822295850219
"41",1,3,10.5184941318373
"42",2,3,7.73080926414861
"43",3,3,0
"44",4,3,5.52451414304651
"45",5,3,5.23907856561091
"46",6,3,5.61144030698683
"47",7,3,5.32695238382904
"48",8,3,6.55170686664042
"49",9,3,4.50995833967316
"50",10,3,5.31513588328509
"51",11,3,11.4441752826924
"52",12,3,16.7905456998638
"53",13,3,12.0229190023169
"54",14,3,20.1167328850017
"55",15,3,21.1479191127383
"56",16,3,16.0890840165906
"57",17,3,12.5345805467969
"58",18,3,13.776879988217
"59",19,3,14.2347171254894
"60",20,3,21.0541813326055
"61",1,4,14.3716462355813
"62",2,4,8.97696977740839
"63",3,4,5.52451414304651
"64",4,4,0
"65",5,4,7.48326059751162
"66",6,4,2.58316122805077
"67",7,4,6.56165070955523
"68",8,4,2.3969986462874
"69",9,4,3.21700558816018
"70",10,4,4.57708941645672
"71",11,4,8.24803109044793
"72",12,4,15.786478408384
"73",13,4,9.68064032393976
"74",14,4,19.5171465378058
"75",15,4,20.775597040394
"76",16,4,14.368183341864
"77",17,4,9.95687611526571
"78",18,4,11.7813385930796
"79",19,4,12.4287634445177
"80",20,4,20.4127993055507
"81",1,5,11.0547457048993
"82",2,5,5.75177607079388
"83",3,5,5.23907856561091
"84",4,5,7.48326059751162
"85",5,5,0
"86",6,5,7.13804173635669
"87",7,5,4.678382011549
"88",8,5,8.15841312293117
"89",9,5,6.95209263110198
"90",10,5,5.83488296749663
"91",11,5,12.7651258319809
"92",12,5,17.7317621146678
"93",13,5,13.0457215693371
"94",14,5,21.0483574757764
"95",15,5,21.9831328435742
"96",16,5,17.1687031666238
"97",17,5,13.429596605637
