"","row","col","value"
"1",1,1,0
"2",2,1,3.71660741981645
"3",3,1,2.54028770424017
"4",4,1,2.80598495406212
"5",5,1,3.71298338455015
"6",6,1,2.28330980776897
"7",7,1,3.27484158102434
"8",8,1,2.00690032943975
"9",9,1,4.57627315557585
"10",10,1,3.73116549770476
"11",11,1,5.60886915438539
"12",12,1,11.8374114571666
"13",13,1,18.0046939950338
"14",14,1,4.58774850418532
"15",15,1,17.6008785051735
"16",16,1,5.19386008233373
"17",17,1,8.013202023512
"18",18,1,7.17673539470036
"19",19,1,16.6968492548416
"20",20,1,8.45155545193871
"21",1,2,3.71660741981645
"22",2,2,0
"23",3,2,3.68657325206247
"24",4,2,3.41940698151411
"25",5,2,5.2051789513122
"26",6,2,3.54869050094407
"27",7,2,3.63080023875946
"28",8,2,3.63032783435772
"29",9,2,5.12037283505238
"30",10,2,4.23116065560673
"31",11,2,5.16713067775281
"32",12,2,12.2877384957413
"33",13,2,18.7246564580789
"34",14,2,5.99855048247666
"35",15,2,18.6842374282118
"36",16,2,6.18451974389951
"37",17,2,9.17203348594245
"38",18,2,8.60512206309768
"39",19,2,17.732603726414
"40",20,2,9.70467511950217
"41",1,3,2.54028770424017
"42",2,3,3.68657325206247
"43",3,3,0
"44",4,3,2.48376408383629
"45",5,3,4.21374298956045
"46",6,3,2.38812351275412
"47",7,3,2.75908700739013
"48",8,3,2.41844078437344
"49",9,3,4.82863899161632
"50",10,3,3.64645114390748
"51",11,3,5.46772525248347
"52",12,3,12.4790120614398
"53",13,3,18.7221827798055
"54",14,3,4.55472357259231
"55",15,3,17.375826789195
"56",16,3,5.08870307339691
"57",17,3,8.52788344398885
"58",18,3,7.80921959137329
"59",19,3,17.2207329164017
"60",20,3,8.78545731433412
"61",1,4,2.80598495406212
"62",2,4,3.41940698151411
"63",3,4,2.48376408383629
"64",4,4,0
"65",5,4,5.13110803952487
"66",6,4,2.48033519744727
"67",7,4,2.69224255803013
"68",8,4,2.46313512036626
"69",9,4,5.08725582240526
"70",10,4,4.07444693232029
"71",11,4,5.43627615441908
"72",12,4,12.796757796738
"73",13,4,19.2992921958954
"74",14,4,4.73422913730435
"75",15,4,17.2698565674382
"76",16,4,5.51766402110927
"77",17,4,9.17433768615608
"78",18,4,8.44247329905148
"79",19,4,17.9409069004945
"80",20,4,8.96831906988308
