"","row","col","value"
"1",1,1,0
"2",2,1,11.4888743398634
"3",3,1,6.06173780593371
"4",4,1,14.3478459002762
"5",5,1,16.0462009560963
"6",6,1,9.18382878034898
"7",7,1,5.13141301928251
"8",8,1,6.79973420199654
"9",9,1,7.75235267023245
"10",10,1,15.9563732023974
"11",11,1,10.523570252867
"12",12,1,12.0107469306417
"13",13,1,9.07003327523231
"14",14,1,7.80751190591049
"15",15,1,9.31782687674645
"16",16,1,8.37960139333713
"17",17,1,14.8712213987385
"18",18,1,8.55442933520112
"19",19,1,7.76794068122341
"20",20,1,15.3317460391953
"21",1,2,11.4888743398634
"22",2,2,0
"23",3,2,9.11889212356249
"24",4,2,9.57438053713215
"25",5,2,9.69447975991497
"26",6,2,5.34497680659103
"27",7,2,9.24221706039719
"28",8,2,6.67587122114103
"29",9,2,5.60324250085564
"30",10,2,8.75290089419877
"31",11,2,17.2130132609467
"32",12,2,17.1854621764161
"33",13,2,15.5932739925893
"34",14,2,14.9928257248982
"35",15,2,15.7674225076453
"36",16,2,15.7132700735804
"37",17,2,18.677236842299
"38",18,2,15.996754044672
"39",19,2,16.1417755010038
"40",20,2,19.7300850885044
"41",1,3,6.06173780593371
"42",2,3,9.11889212356249
"43",3,3,0
"44",4,3,12.422391406366
"45",5,3,14.347841168345
"46",6,3,7.83337283024888
"47",7,3,4.97515878781874
"48",8,3,6.23391246197398
"49",9,3,6.38304275557144
"50",10,3,14.3112439978017
"51",11,3,12.0621803155143
"52",12,3,12.3158092280407
"53",13,3,10.0427115282719
"54",14,3,9.72305081077961
"55",15,3,10.1701974564701
"56",16,3,9.8898461947684
"57",17,3,14.7822268886446
"58",18,3,10.0706057876079
"59",19,3,9.95837092865268
"60",20,3,15.5504211371643
"61",1,4,14.3478459002762
"62",2,4,9.57438053713215
"63",3,4,12.422391406366
"64",4,4,0
"65",5,4,6.50486876316732
"66",6,4,9.21040080461632
"67",7,4,12.4970466066094
"68",8,4,10.9565116071919
"69",9,4,9.75499719300631
"70",10,4,9.7727631590921
"71",11,4,20.7220891675389
"72",12,4,21.0495489771911
"73",13,4,19.0391814203403
"74",14,4,18.1878636010288
"75",15,4,19.2236018073861
"76",16,4,18.5121122668245
"77",17,4,20.266103033772
"78",18,4,19.3304919600463
"79",19,4,19.4924595927412
"80",20,4,21.6881337504809
