"","row","col","value"
"1",1,1,0
"2",2,1,11.4888743398634
"3",3,1,6.06173780593371
"4",4,1,14.3478459002762
"5",5,1,16.0462009560963
"6",6,1,9.18382878034898
"7",7,1,5.13141301928251
"8",8,1,6.79973420199654
"9",9,1,7.75235267023245
"10",10,1,15.9563732023974
"11",11,1,9.55751604591663
"12",12,1,8.70206678076164
"13",13,1,9.22490674181739
"14",14,1,8.53606430405862
"15",15,1,9.85122245238648
"16",16,1,9.80389407313694
"17",17,1,7.7402643339162
"18",18,1,9.97328952098379
"19",19,1,13.6236804196803
"20",20,1,10.4122196907843
"21",1,2,11.4888743398634
"22",2,2,0
"23",3,2,9.11889212356249
"24",4,2,9.57438053713215
"25",5,2,9.69447975991497
"26",6,2,5.34497680659103
"27",7,2,9.24221706039719
"28",8,2,6.67587122114103
"29",9,2,5.60324250085564
"30",10,2,8.75290089419877
"31",11,2,16.160448665027
"32",12,2,14.0733827044963
"33",13,2,14.0228908289143
"34",14,2,14.7261464738121
"35",15,2,15.4206558747307
"36",16,2,14.5550696555217
"37",17,2,14.4003706482013
"38",18,2,16.1385951405199
"39",19,2,16.995486281233
"40",20,2,15.5031185679529
"41",1,3,6.06173780593371
"42",2,3,9.11889212356249
"43",3,3,0
"44",4,3,12.422391406366
"45",5,3,14.347841168345
"46",6,3,7.83337283024888
"47",7,3,4.97515878781874
"48",8,3,6.23391246197398
"49",9,3,6.38304275557144
"50",10,3,14.3112439978017
"51",11,3,10.9008673609202
"52",12,3,9.37652144869911
"53",13,3,9.42103962701731
"54",14,3,9.64566001116237
"55",15,3,10.955538844225
"56",16,3,10.5703221741826
"57",17,3,9.33254183247498
"58",18,3,11.1700515256428
"59",19,3,13.5747158978895
"60",20,3,11.4403404068792
"61",1,4,14.3478459002762
"62",2,4,9.57438053713215
"63",3,4,12.422391406366
"64",4,4,0
"65",5,4,6.50486876316732
"66",6,4,9.21040080461632
"67",7,4,12.4970466066094
"68",8,4,10.9565116071919
"69",9,4,9.75499719300631
"70",10,4,9.7727631590921
"71",11,4,18.9082252056118
"72",12,4,17.3338147092884
"73",13,4,17.4757040386353
"74",14,4,18.1860250998672
"75",15,4,18.5854092918083
"76",16,4,18.2614981727705
"77",17,4,17.4439983164282
"78",18,4,19.1675052692741
"79",19,4,19.8527374994978
"80",20,4,18.4339438223662
