"","row","col","value"
"1",1,1,0
"2",2,1,11.4503464892913
"3",3,1,10.5184941318373
"4",4,1,14.3716462355813
"5",5,1,11.0547457048993
"6",6,1,15.0994849515496
"7",7,1,10.8138840571209
"8",8,1,15.3840289304903
"9",9,1,13.4848341658711
"10",10,1,12.9728822236546
"11",11,1,16.4379877544265
"12",12,1,13.868012928375
"13",13,1,14.1473281660875
"14",14,1,16.8520839592855
"15",15,1,21.7231226290972
"16",16,1,16.9801581887859
"17",17,1,11.9859986514217
"18",18,1,12.3093395135314
"19",19,1,10.5700769543067
"20",20,1,13.7998622936931
"21",1,2,11.4503464892913
"22",2,2,0
"23",3,2,7.73080926414861
"24",4,2,8.97696977740839
"25",5,2,5.75177607079388
"26",6,2,8.79974004557311
"27",7,2,4.73266183481483
"28",8,2,9.56493982606106
"29",9,2,8.9366583600627
"30",10,2,6.60986750018241
"31",11,2,11.9997272631998
"32",12,2,15.3377499801214
"33",13,2,20.448121801913
"34",14,2,13.7322085716041
"35",15,2,24.5029707104802
"36",16,2,13.3848523783216
"37",17,2,12.192574420359
"38",18,2,12.4076473398144
"39",19,2,17.9189382929041
"40",20,2,14.3951990726978
"41",1,3,10.5184941318373
"42",2,3,7.73080926414861
"43",3,3,0
"44",4,3,5.52451414304651
"45",5,3,5.23907856561091
"46",6,3,5.61144030698683
"47",7,3,5.32695238382904
"48",8,3,6.55170686664042
"49",9,3,4.50995833967316
"50",10,3,5.31513588328509
"51",11,3,9.51228144549055
"52",12,3,11.5071165354724
"53",13,3,16.3714013418386
"54",14,3,9.66600088802562
"55",15,3,18.0865642769893
"56",16,3,10.0134847294705
"57",17,3,8.2382126725
"58",18,3,8.77603730050225
"59",19,3,14.8511705666532
"60",20,3,8.84628785558194
"61",1,4,14.3716462355813
"62",2,4,8.97696977740839
"63",3,4,5.52451414304651
"64",4,4,0
"65",5,4,7.48326059751162
"66",6,4,2.58316122805077
"67",7,4,6.56165070955523
"68",8,4,2.3969986462874
"69",9,4,3.21700558816018
"70",10,4,4.57708941645672
"71",11,4,5.90785083207444
"72",12,4,11.9576734526192
"73",13,4,18.132395010157
"74",14,4,6.27780007604966
"75",15,4,18.373090379641
"76",16,4,6.15524400630386
"77",17,4,8.34232970056918
"78",18,4,8.06994177516659
"79",19,4,16.9303444777812
"80",20,4,8.90102222008444
"81",1,5,11.0547457048993
"82",2,5,5.75177607079388
"83",3,5,5.23907856561091
"84",4,5,7.48326059751162
"85",5,5,0
"86",6,5,7.13804173635669
"87",7,5,4.678382011549
"88",8,5,8.15841312293117
"89",9,5,6.95209263110198
"90",10,5,5.83488296749663
"91",11,5,10.8013377391734
"92",12,5,12.9210274740595
"93",13,5,17.9019679646813
"94",14,5,11.8444328367995
"95",15,5,21.4625858024941
"96",16,5,11.7704159473999
"97",17,5,10.143802900291
