"","Taxa","GenePair","sum","total_n"
"126","A_Delaware_19_2017","NA-PB1",6,3
"127","A_Delaware_19_2017","NA-PB2",6,5
"128","A_District_of_Columbia_WRAIR0300_2010","M-PB1",6,3
"129","A_District_of_Columbia_WRAIR0300_2010","M-PB2",6,3
"130","A_District_of_Columbia_WRAIR0300_2010","NP-NS",6,3
"131","A_England_425_2003","M-NA",6,8
"132","A_England_425_2003","M-PA",6,12
"133","A_England_425_2003","NA-NP",6,5
"134","A_England_425_2003","NA-PB1",6,3
"135","A_England_425_2003","NA-PB2",6,6
"136","A_England_425_2003","PA-PB1",6,6
"137","A_England_425_2003","PA-PB2",6,6
"138","A_England_438_2003","HA-NA",6,5
"139","A_England_438_2003","HA-NS",6,3
"140","A_England_438_2003","HA-PA",6,6
"141","A_England_438_2003","HA-PB2",6,3
"142","A_England_438_2003","M-NA",6,3
"143","A_England_438_2003","M-PA",6,3
"144","A_England_438_2003","NA-NP",6,3
"145","A_England_438_2003","NA-PB1",6,3
"146","A_England_438_2003","NA-PB2",6,3
"147","A_England_438_2003","NP-PA",6,3
"148","A_England_438_2003","PA-PB1",6,3
"149","A_England_438_2003","PA-PB2",6,3
"150","A_England_467_2003","HA-NA",6,6
"151","A_England_467_2003","HA-PA",6,3
"152","A_England_467_2003","M-NA",6,3
"153","A_England_467_2003","M-PA",6,3
"154","A_England_467_2003","NA-NP",6,6
"155","A_England_467_2003","NA-PB1",6,6
"156","A_England_467_2003","NA-PB2",6,6
"157","A_England_467_2003","NP-PA",6,3
"158","A_England_467_2003","PA-PB1",6,3
"159","A_England_467_2003","PA-PB2",6,3
"160","A_England_470_2003","HA-NA",6,3
"161","A_England_470_2003","M-PA",6,12
"162","A_England_470_2003","NA-NP",6,3
"163","A_England_470_2003","NA-PA",6,3
"164","A_England_470_2003","NA-PB1",6,3
"165","A_England_470_2003","NA-PB2",6,3
"166","A_England_470_2003","PA-PB1",6,12
"167","A_England_470_2003","PA-PB2",6,6
"168","A_England_487_2003","HA-NA",6,6
"169","A_England_487_2003","HA-PA",6,9
"170","A_England_487_2003","M-PA",6,9
"171","A_England_487_2003","NA-NP",6,3
"172","A_England_487_2003","NA-PB1",6,3
"173","A_England_487_2003","NA-PB2",6,3
"174","A_England_487_2003","NP-PA",6,9
"175","A_England_487_2003","PA-PB1",6,9
"176","A_England_487_2003","PA-PB2",6,6
"177","A_England_491_2003","HA-NA",6,6
"178","A_England_491_2003","HA-PA",6,9
"179","A_England_491_2003","M-PA",6,12
"180","A_England_491_2003","NA-NP",6,3
"181","A_England_491_2003","NA-PB1",6,3
"182","A_England_491_2003","NA-PB2",6,3
"183","A_England_491_2003","NP-PA",6,9
"184","A_England_491_2003","PA-PB1",6,9
"185","A_England_491_2003","PA-PB2",6,6
"186","A_England_493_2003","HA-NA",6,3
"187","A_England_493_2003","HA-PA",6,9
"188","A_England_493_2003","M-PA",6,9
"189","A_England_493_2003","NA-NP",6,3
"190","A_England_493_2003","NA-PB1",6,3
"191","A_England_493_2003","NA-PB2",6,4
"192","A_England_493_2003","NP-PA",6,6
"193","A_England_493_2003","NS-PA",6,5
"194","A_England_493_2003","PA-PB1",6,9
"195","A_England_493_2003","PA-PB2",6,7
"196","A_England_508_2003","HA-NA",6,3
"197","A_England_508_2003","HA-PA",6,5
"198","A_England_508_2003","NP-PA",6,3
"199","A_England_508_2003","PA-PB1",6,3
"200","A_England_516_2003","HA-NA",6,5
"201","A_England_516_2003","HA-NS",6,3
"202","A_England_516_2003","HA-PA",6,12
"203","A_England_516_2003","HA-PB2",6,3
"204","A_England_516_2003","M-NA",6,3
"205","A_England_516_2003","M-PA",6,9
"206","A_England_516_2003","NA-NP",6,3
"207","A_England_516_2003","NA-NS",6,3
"208","A_England_516_2003","NA-PA",6,3
"209","A_England_516_2003","NA-PB1",6,3
"210","A_England_516_2003","NA-PB2",6,3
"211","A_England_516_2003","NP-PA",6,3
"212","A_England_516_2003","NS-PA",6,8
"213","A_England_516_2003","PA-PB1",6,12
"214","A_England_516_2003","PA-PB2",6,6
"215","A_England_522_2003","M-NA",6,3
"216","A_England_522_2003","M-PA",6,9
"217","A_England_522_2003","NA-NP",6,5
"218","A_England_522_2003","NA-PB1",6,3
"219","A_England_522_2003","NA-PB2",6,6
"220","A_England_522_2003","PA-PB1",6,12
"221","A_England_522_2003","PA-PB2",6,6
"222","A_England_525_2003","M-NA",6,3
"223","A_England_525_2003","M-PA",6,9
"224","A_England_525_2003","NA-NP",6,5
"225","A_England_525_2003","NA-PB1",6,3
"226","A_England_525_2003","NA-PB2",6,7
"227","A_England_525_2003","PA-PB1",6,18
"228","A_England_525_2003","PA-PB2",6,6
"229","A_England_532_2003","HA-NA",6,3
"230","A_England_532_2003","HA-PA",6,3
"231","A_England_532_2003","M-PA",6,6
"232","A_England_532_2003","NA-NP",6,3
"233","A_England_532_2003","NA-PB1",6,3
"234","A_England_532_2003","NA-PB2",6,3
"235","A_England_532_2003","NP-PA",6,3
"236","A_England_532_2003","PA-PB1",6,6
"237","A_England_532_2003","PA-PB2",6,3
"238","A_England_547_2003","HA-NA",6,8
"239","A_England_547_2003","HA-NS",6,3
"240","A_England_547_2003","HA-PA",6,12
"241","A_England_547_2003","HA-PB2",6,3
"242","A_England_547_2003","M-NA",6,4
"243","A_England_547_2003","M-PA",6,9
"244","A_England_547_2003","NA-NP",6,6
"245","A_England_547_2003","NA-PB1",6,6
"246","A_England_547_2003","NA-PB2",6,6
"247","A_England_547_2003","NP-PA",6,3
"248","A_England_547_2003","NS-PA",6,6
"249","A_England_547_2003","PA-PB1",6,9
"250","A_England_547_2003","PA-PB2",6,3
"251","A_England_558_2003","HA-NA",6,11
"252","A_England_558_2003","HA-PA",6,6
"253","A_England_558_2003","M-NA",6,7
"254","A_England_558_2003","M-PA",6,6
"255","A_England_558_2003","NA-NP",6,9
"256","A_England_558_2003","NA-NS",6,3
"257","A_England_558_2003","NA-PB1",6,9
"258","A_England_558_2003","NA-PB2",6,12
"259","A_England_558_2003","NP-PA",6,6
"260","A_England_558_2003","NS-PA",6,3
"261","A_England_558_2003","PA-PB1",6,6
"262","A_England_558_2003","PA-PB2",6,9
"263","A_England_585_2003","HA-NA",6,3
"264","A_England_585_2003","HA-PA",6,3
"265","A_England_585_2003","M-PB2",6,3
"266","A_England_585_2003","NA-PB2",6,9
"267","A_England_585_2003","NP-PB2",6,6
"268","A_England_585_2003","NS-PB2",6,3
"269","A_England_585_2003","PA-PB2",6,9
"270","A_England_585_2003","PB1-PB2",6,3
"271","A_England_944_2003","M-NA",6,8
"272","A_England_944_2003","M-PA",6,12
"273","A_England_944_2003","NA-NP",6,5
"274","A_England_944_2003","NA-PB1",6,3
"275","A_England_944_2003","NA-PB2",6,6
"276","A_England_944_2003","PA-PB1",6,6
"277","A_England_944_2003","PA-PB2",6,6
"278","A_England_957_2003","M-NA",6,3
"279","A_England_957_2003","M-PA",6,9
"280","A_England_957_2003","NA-PB2",6,3
"281","A_England_957_2003","PA-PB1",6,3
"282","A_England_957_2003","PA-PB2",6,3
"283","A_Florida_34_2017","HA-M",6,6
"284","A_Florida_34_2017","HA-NP",6,3
"285","A_Florida_34_2017","HA-NS",6,8
"286","A_Florida_34_2017","HA-PA",6,3
"287","A_Florida_34_2017","HA-PB1",6,3
"288","A_Florida_34_2017","HA-PB2",6,3
"289","A_Florida_34_2017","M-NA",6,3
"290","A_Florida_34_2017","NA-NP",6,7
"291","A_Florida_34_2017","NA-NS",6,6
"292","A_Florida_34_2017","NA-PA",6,7
"293","A_Florida_34_2017","NA-PB1",6,9
"294","A_Florida_34_2017","NA-PB2",6,9
"295","A_Florida_73_2017","HA-PB1",6,3
"296","A_Florida_73_2017","M-PB1",6,3
"297","A_Florida_73_2017","NA-PB1",6,3
"298","A_Florida_73_2017","PA-PB1",6,3
"299","A_Georgia_40_2016","HA-M",6,5
"300","A_Georgia_40_2016","NA-PB1",6,3
"301","A_Georgia_40_2016","PB1-PB2",6,6
"302","A_Gyeonggi_458_2016","HA-NP",6,3
"303","A_Gyeonggi_458_2016","HA-PA",6,3
"304","A_Gyeonggi_458_2016","HA-PB1",6,3
"305","A_Gyeonggi_458_2016","HA-PB2",6,3
"306","A_Gyeonggi_458_2016","NA-NP",6,9
"307","A_Gyeonggi_458_2016","NA-NS",6,3
"308","A_Gyeonggi_458_2016","NA-PA",6,11
"309","A_Gyeonggi_458_2016","NA-PB1",6,12
"310","A_Gyeonggi_458_2016","NA-PB2",6,13
"311","A_Gyeonggi_458_2016","NP-PA",6,5
"312","A_Gyeonggi_458_2016","NP-PB1",6,3
"313","A_Gyeonggi_458_2016","NP-PB2",6,6
"314","A_Hawaii_39_2014","HA-M",6,3
"315","A_Hawaii_39_2014","HA-NA",6,3
"316","A_Hawaii_39_2014","HA-PB1",6,3
"317","A_Hawaii_39_2014","HA-PB2",6,3
"318","A_Hawaii_39_2014","M-NS",6,3
"319","A_Hawaii_39_2014","NA-NS",6,3
"320","A_Hawaii_39_2014","NP-PB2",6,3
"321","A_Hawaii_39_2014","NS-PB1",6,3
"322","A_Hawaii_39_2014","NS-PB2",6,3
"323","A_Hawaii_39_2014","PA-PB2",6,3
"324","A_Hawaii_39_2014","PB1-PB2",6,3
"325","A_Hokkaido_13H009_2014","HA-M",6,3
