ID,Strain,GenePair
160,A/England/470/2003,HA-NA
161,A/England/470/2003,M-PA
162,A/England/470/2003,NA-NP
163,A/England/470/2003,NA-PA
164,A/England/470/2003,NA-PB1
165,A/England/470/2003,NA-PB2
166,A/England/470/2003,PA-PB1
167,A/England/470/2003,PA-PB2
168,A/England/487/2003,HA-NA
169,A/England/487/2003,HA-PA
170,A/England/487/2003,M-PA
171,A/England/487/2003,NA-NP
172,A/England/487/2003,NA-PB1
173,A/England/487/2003,NA-PB2
174,A/England/487/2003,NP-PA
175,A/England/487/2003,PA-PB1
176,A/England/487/2003,PA-PB2
177,A/England/491/2003,HA-NA
178,A/England/491/2003,HA-PA
179,A/England/491/2003,M-PA
180,A/England/491/2003,NA-NP
181,A/England/491/2003,NA-PB1
182,A/England/491/2003,NA-PB2
183,A/England/491/2003,NP-PA
184,A/England/491/2003,PA-PB1
185,A/England/491/2003,PA-PB2
186,A/England/493/2003,HA-NA
187,A/England/493/2003,HA-PA
188,A/England/493/2003,M-PA
189,A/England/493/2003,NA-NP
190,A/England/493/2003,NA-PB1
191,A/England/493/2003,NA-PB2
192,A/England/493/2003,NP-PA
193,A/England/493/2003,NS-PA
194,A/England/493/2003,PA-PB1
195,A/England/493/2003,PA-PB2
196,A/England/508/2003,HA-NA
197,A/England/508/2003,HA-PA
198,A/England/508/2003,NP-PA
199,A/England/508/2003,PA-PB1
200,A/England/516/2003,HA-NA
201,A/England/516/2003,HA-NS
202,A/England/516/2003,HA-PA
203,A/England/516/2003,HA-PB2
204,A/England/516/2003,M-NA
205,A/England/516/2003,M-PA
206,A/England/516/2003,NA-NP
207,A/England/516/2003,NA-NS
208,A/England/516/2003,NA-PA
209,A/England/516/2003,NA-PB1
210,A/England/516/2003,NA-PB2
211,A/England/516/2003,NP-PA
212,A/England/516/2003,NS-PA
213,A/England/516/2003,PA-PB1
214,A/England/516/2003,PA-PB2
215,A/England/522/2003,M-NA
216,A/England/522/2003,M-PA
217,A/England/522/2003,NA-NP
218,A/England/522/2003,NA-PB1
219,A/England/522/2003,NA-PB2
220,A/England/522/2003,PA-PB1
221,A/England/522/2003,PA-PB2
222,A/England/525/2003,M-NA
223,A/England/525/2003,M-PA
224,A/England/525/2003,NA-NP
225,A/England/525/2003,NA-PB1
226,A/England/525/2003,NA-PB2
227,A/England/525/2003,PA-PB1
228,A/England/525/2003,PA-PB2
229,A/England/532/2003,HA-NA
230,A/England/532/2003,HA-PA
231,A/England/532/2003,M-PA
232,A/England/532/2003,NA-NP
233,A/England/532/2003,NA-PB1
234,A/England/532/2003,NA-PB2
235,A/England/532/2003,NP-PA
