"","Taxa","sum","HA-M","HA-NA","HA-NP","HA-NS","HA-PA","HA-PB1","HA-PB2","M-NA","M-NP","M-NS","M-PA","M-PB1","M-PB2","NA-NP","NA-NS","NA-PA","NA-PB1","NA-PB2","NP-NS","NP-PA","NP-PB1","NP-PB2","NS-PA","NS-PB1","NS-PB2","PA-PB1","PA-PB2","PB1-PB2"
"25","A_China_81891_2017",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","A_Chungbuk_107_2016",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,11,12,13,NA,5,3,6,NA,NA,NA,NA,NA,NA
"27","A_Delaware_19_2017",6,NA,NA,3,NA,3,3,3,4,NA,NA,3,NA,3,4,3,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","A_District_of_Columbia_WRAIR0300_2010",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","A_England_425_2003",6,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,12,NA,NA,5,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,6,6,NA
"30","A_England_438_2003",6,NA,5,NA,3,6,NA,3,3,NA,NA,3,NA,NA,3,NA,NA,3,3,NA,3,NA,NA,NA,NA,NA,3,3,NA
"31","A_England_467_2003",6,NA,6,NA,NA,3,NA,NA,3,NA,NA,3,NA,NA,6,NA,NA,6,6,NA,3,NA,NA,NA,NA,NA,3,3,NA
"32","A_England_470_2003",6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,3,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,12,6,NA
"33","A_England_487_2003",6,NA,6,NA,NA,9,NA,NA,NA,NA,NA,9,NA,NA,3,NA,NA,3,3,NA,9,NA,NA,NA,NA,NA,9,6,NA
"34","A_England_491_2003",6,NA,6,NA,NA,9,NA,NA,NA,NA,NA,12,NA,NA,3,NA,NA,3,3,NA,9,NA,NA,NA,NA,NA,9,6,NA
"35","A_England_493_2003",6,NA,3,NA,NA,9,NA,NA,NA,NA,NA,9,NA,NA,3,NA,NA,3,4,NA,6,NA,NA,5,NA,NA,9,7,NA
"36","A_England_508_2003",6,NA,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA
"37","A_England_516_2003",6,NA,5,NA,3,12,NA,3,3,NA,NA,9,NA,NA,3,3,3,3,3,NA,3,NA,NA,8,NA,NA,12,6,NA
"38","A_England_522_2003",6,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,9,NA,NA,5,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,12,6,NA
"39","A_England_525_2003",6,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,9,NA,NA,5,NA,NA,3,7,NA,NA,NA,NA,NA,NA,NA,18,6,NA
"40","A_England_532_2003",6,NA,3,NA,NA,3,NA,NA,NA,NA,NA,6,NA,NA,3,NA,NA,3,3,NA,3,NA,NA,NA,NA,NA,6,3,NA
"41","A_England_547_2003",6,NA,8,NA,3,12,NA,3,4,NA,NA,9,NA,NA,6,NA,NA,6,6,NA,3,NA,NA,6,NA,NA,9,3,NA
"42","A_England_558_2003",6,NA,11,NA,NA,6,NA,NA,7,NA,NA,6,NA,NA,9,3,NA,9,12,NA,6,NA,NA,3,NA,NA,6,9,NA
"43","A_England_585_2003",6,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,9,NA,NA,NA,6,NA,NA,3,NA,9,3
"44","A_England_944_2003",6,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,12,NA,NA,5,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,6,6,NA
"45","A_England_957_2003",6,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,9,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,3,NA
"46","A_Florida_34_2017",6,6,NA,3,8,3,3,3,3,NA,NA,NA,NA,NA,7,6,7,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
