"","row","col","value"
"1",1,1,0
"2",2,1,11.093154393345
"3",3,1,11.163617657356
"4",4,1,11.1186023374486
"5",5,1,11.232164026853
"6",6,1,11.1694343450339
"7",7,1,11.2209898799112
"8",8,1,11.0857316480816
"9",9,1,11.3635870720748
"10",10,1,11.3426314978148
"11",11,1,10.9430876158072
"12",12,1,11.1515774569403
"13",13,1,11.3023333940789
"14",14,1,12.2659208162689
"15",15,1,11.6562448305004
"16",16,1,11.9422997357354
"17",17,1,11.9236830689837
"18",18,1,12.1960210893982
"19",19,1,11.8815555706853
"20",20,1,12.0879242129219
"21",21,1,12.2276560429605
"22",22,1,11.7815034713522
"23",23,1,12.2430298530847
"24",24,1,12.3435358101426
"25",25,1,12.3541131078627
"26",26,1,12.0667019008391
"27",27,1,11.6615550987727
"28",28,1,11.6910319671094
"29",29,1,11.9652153149668
"30",30,1,12.1858544918498
"31",31,1,12.4813487105806
"32",32,1,11.5498269171165
"33",33,1,12.3184837077191
"34",34,1,12.5947914759582
"35",35,1,12.4719274094294
"36",36,1,12.2391702503118
"37",37,1,12.1133242673679
"38",38,1,11.9069884804411
"39",39,1,11.9303819839286
"40",40,1,11.8314257752262
"41",41,1,11.5609371730892
"42",42,1,11.6615800109035
"43",43,1,11.7340649265127
"44",44,1,12.0290996414653
"45",45,1,11.9703715195402
"46",46,1,12.0922715332663
"47",47,1,11.7481087124696
"48",48,1,11.2392595748816
"49",49,1,11.7400469203831
"50",50,1,11.9659580243583
"51",51,1,17.2621072895124
"52",52,1,16.6706160647505
"53",53,1,16.9186185782438
"54",54,1,16.1744306087024
"55",55,1,15.8989071574065
"56",56,1,16.0495182041199
"57",57,1,16.6665375973722
"58",58,1,16.1130262981147
"59",59,1,16.0784987675039
"60",60,1,17.1601935918616
"61",61,1,16.1012635734372
"62",62,1,16.531293047695
"63",63,1,16.3652703166933
"64",64,1,15.8891421897384
"65",65,1,16.0446871361067
"66",66,1,16.1640818345452
"67",67,1,16.1011469617499
"68",68,1,17.1616922394782
"69",69,1,16.3526168696351
"70",70,1,16.6586573871392
"71",71,1,16.7760449982329
"72",72,1,17.3849756810554
"73",73,1,16.4412379877639
"74",74,1,16.4827936233012
"75",75,1,17.3378667933376
"76",76,1,16.5239216662069
"77",77,1,20.4218459516634
"78",78,1,16.9464108881753
"79",79,1,17.1981516471684
"80",80,1,16.704058946679
"81",81,1,16.5984128813751
"82",82,1,16.6359709542385
"83",83,1,17.0682921551314
"84",84,1,16.4052983072416
"85",85,1,17.0376503248832
"86",86,1,15.9092989348207
"87",87,1,15.9340488275524
"88",88,1,19.6356133832936
"89",89,1,16.7027740057263
"90",90,1,16.4201478439674
"91",91,1,16.6281873224889
"92",92,1,17.571099239683
"93",93,1,17.1123202549176
"94",94,1,16.9820423247359
"95",95,1,16.5333224633556
"96",96,1,16.5458106739418
"97",97,1,16.0613279312858
"98",98,1,16.3632906467072
"99",99,1,16.1524174191987
"100",100,1,16.1550540475054
"101",1,2,11.093154393345
"102",2,2,0
"103",3,2,9.97704131610304
"104",4,2,10.2154490259785
"105",5,2,10.8422828238406
"106",6,2,10.752878792869
"107",7,2,10.5683859742354
"108",8,2,11.1741791504227
"109",9,2,11.2114811358688
"110",10,2,11.2784415238612
"111",11,2,10.8585189355521
"112",12,2,11.1775928713827
"113",13,2,11.2019489159491
"114",14,2,11.8104660725706
"115",15,2,11.623860531944
"116",16,2,12.1427371228832
"117",17,2,11.5374939000219
"118",18,2,11.9493653940103
"119",19,2,11.3721642126288
"120",20,2,11.5164113781636
"121",21,2,11.6290788583738
"122",22,2,11.5304744394593
"123",23,2,11.7243357787828
"124",24,2,12.0660362621155
"125",25,2,12.24315877531
"126",26,2,11.3351842750496
"127",27,2,11.1352440001305
"128",28,2,11.1145557479179
"129",29,2,11.487384178114
"130",30,2,11.7725852829787
"131",31,2,11.746263793732
"132",32,2,11.7649471085231
"133",33,2,11.854669168995
"134",34,2,12.4318122966203
"135",35,2,12.4039002539901
"136",36,2,12.1102051536533
"137",37,2,11.7696786781043
"138",38,2,11.7308740025205
"139",39,2,11.3569183726828
"140",40,2,11.3485675056104
"141",41,2,11.0311982267574
"142",42,2,11.1229383337219
"143",43,2,11.1023963096807
"144",44,2,11.7503253935648
"145",45,2,11.3690587555801
"146",46,2,11.525037676338
"147",47,2,10.8942535870648
"148",48,2,10.9442740059952
"149",49,2,10.7614329354545
"150",50,2,11.7715366356891
"151",51,2,16.5198320972452
"152",52,2,16.1207561406783
"153",53,2,16.514337847252
"154",54,2,15.5416160493435
"155",55,2,15.5132605013197
"156",56,2,15.5575184785952
"157",57,2,16.1020448676215
"158",58,2,15.859033052189
"159",59,2,15.7809953757498
"160",60,2,16.6481857862837
"161",61,2,15.7624731529548
"162",62,2,15.9169751664489
"163",63,2,15.8812381622423
"164",64,2,15.3612175406549
"165",65,2,15.5614255781058
"166",66,2,15.7547424832446
"167",67,2,15.5900008167048
"168",68,2,16.4892897554464
"169",69,2,16.1803271071024
"170",70,2,16.1849278117267
"171",71,2,16.3784788391369
"172",72,2,16.6866323565484
"173",73,2,15.7987732055672
"174",74,2,15.9150220990887
"175",75,2,16.6748100235308
"176",76,2,15.8468437781445
"177",77,2,19.6062468468643
"178",78,2,16.3897793218319
"179",79,2,16.8344353956928
"180",80,2,16.2011020636751
"181",81,2,16.2034789363339
"182",82,2,16.1130729011033
"183",83,2,16.703979189229
"184",84,2,16.0215267443148
"185",85,2,16.4434380226897
"186",86,2,15.602696994538
"187",87,2,15.4818737154356
"188",88,2,18.7842190078378
"189",89,2,16.2928231461274
"190",90,2,15.8639036022547
"191",91,2,16.1657044497794
"192",92,2,16.7797433544033
"193",93,2,16.6179186094619
"194",94,2,16.4469988454625
"195",95,2,15.8617988517152
"196",96,2,16.0467882545785
"197",97,2,15.6931413752846
"198",98,2,15.9271652483823
"199",99,2,15.8178148172722
"200",100,2,15.7531008070199
"201",1,3,11.163617657356
"202",2,3,9.97704131610304
"203",3,3,0
"204",4,3,9.85314973084477
"205",5,3,10.9972185016028
"206",6,3,10.7422333704455
