compareStrain,vaccineStrain,vaccine_code,Year,Month,Day,Dom
CY039014_A_Hong_Kong_HKU21_2004,EPI103320_A_Moscow_10_1999,Mos99,2004,6,19,0
CY038638_A_Hong_Kong_HKU29_2004,EPI103320_A_Moscow_10_1999,Mos99,2004,7,21,0
CY038646_A_Hong_Kong_HKU31_2004,EPI103320_A_Moscow_10_1999,Mos99,2004,7,30,0
CY039030_A_Hong_Kong_HKU25_2004,EPI103320_A_Moscow_10_1999,Mos99,2004,7,7,0
CY039038_A_Hong_Kong_HKU30_2004,EPI103320_A_Moscow_10_1999,Mos99,2004,7,22,0
CY039174_A_Hong_Kong_HKU24_2004,EPI103320_A_Moscow_10_1999,Mos99,2004,7,5,0
CY043751_A_Hong_Kong_HKU28_2004,EPI103320_A_Moscow_10_1999,Mos99,2004,7,17,0
CY038654_A_Hong_Kong_HKU34_2004,EPI103320_A_Moscow_10_1999,Mos99,2004,8,18,0
CY039502_A_Hong_Kong_HKU32_2004,EPI103320_A_Moscow_10_1999,Mos99,2004,8,2,1
CY006386_A_New_York_467_2004,EPI103320_A_Moscow_10_1999,Mos99,2004,9,17,1
CY040321_A_Hong_Kong_HKU38_2004,EPI103320_A_Moscow_10_1999,Mos99,2004,9,23,0
EPI367109_A_California_7_2004,EPI103320_A_Moscow_10_1999,Mos99,2004,9,16,1
CY002719_A_New_York_319_2004,EPI358781_A_Fujian_411_2002,Fuj02,2004,11,8,0
CY003671_A_New_York_471_2004,EPI358781_A_Fujian_411_2002,Fuj02,2004,11,8,0
CY039054_A_Hong_Kong_HKU40_2004,EPI358781_A_Fujian_411_2002,Fuj02,2004,11,23,0
CY002199_A_New_York_366_2004,EPI358781_A_Fujian_411_2002,Fuj02,2004,12,20,0
CY002231_A_New_York_372_2004,EPI358781_A_Fujian_411_2002,Fuj02,2004,12,22,0
CY002255_A_New_York_381_2004,EPI358781_A_Fujian_411_2002,Fuj02,2004,12,28,0
CY002263_A_New_York_383_2004,EPI358781_A_Fujian_411_2002,Fuj02,2004,12,29,0
CY002447_A_New_York_365_2004,EPI358781_A_Fujian_411_2002,Fuj02,2004,12,16,0
CY002599_A_New_York_377_2004,EPI358781_A_Fujian_411_2002,Fuj02,2004,12,20,0
CY002791_A_New_York_232_2004,EPI358781_A_Fujian_411_2002,Fuj02,2004,12,9,0
CY003079_A_New_York_123_2004,EPI358781_A_Fujian_411_2002,Fuj02,2004,12,16,0
CY019156_A_New_York_900_2004,EPI358781_A_Fujian_411_2002,Fuj02,2004,12,22,0
CY019164_A_New_York_900_2004,EPI358781_A_Fujian_411_2002,Fuj02,2004,12,22,0
CY019180_A_New_York_905_2004,EPI358781_A_Fujian_411_2002,Fuj02,2004,12,27,0
CY019260_A_New_York_908_2004,EPI358781_A_Fujian_411_2002,Fuj02,2004,12,27,0
CY112996_A_Netherlands_132_2004,EPI358781_A_Fujian_411_2002,Fuj02,2004,12,4,0
CY002007_A_New_York_359_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,1,17,0
CY019300_A_New_York_913_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,1,10,0
CY019308_A_New_York_918_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,1,10,0
CY019324_A_New_York_918_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,1,10,0
CY020540_A_New_York_913_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,1,10,0
CY038686_A_Hong_Kong_HKU42_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,1,6,0
EPI502253_A_Wisconsin_67_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,1,1,0
CY002015_A_New_York_361_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,2,2,0
CY002463_A_New_York_373_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,2,22,0
CY003647_A_New_York_463_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,2,9,0
CY090996_A_South_Carolina_NHRC0001_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,2,11,0
CY091140_A_Texas_NHRC0001_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,2,16,0
CY091436_A_California_NHRC0002_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,2,7,1
CY002079_A_New_York_396_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,3,4,0
CY006091_A_New_York_465_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,3,8,0
CY039062_A_Hong_Kong_HKU45_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,3,7,0
CY039070_A_Hong_Kong_HKU47_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,3,19,1
CY040329_A_Hong_Kong_HKU52_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,4,16,0
CY091012_A_Illinois_NHRC0001_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,4,6,0
CY038702_A_Hong_Kong_HKU62_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,5,13,0
CY038710_A_Hong_Kong_HKU65_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,5,17,0
CY038718_A_Hong_Kong_HKU67_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,5,23,1
CY038734_A_Hong_Kong_HKU69_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,5,27,0
